NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Mogibacterium diversum	3	6	0	0	0	0	8	0	0	0	11	0	4	0	0	0
Mogibacterium pumilum	2	0	0	0	2	0	0	0	13	3	0	0	0	0	0	4
Aminipila luticellarii	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
Intestinimonas butyriciproducens	2	2	3	26	0	0	2	0	4	1	0	0	0	2	0	0
Thermaerobacter sp. PB12/4term	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Massilistercora timonensis	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
Desulforamulus ruminis	4	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0
Candidatus Desulforudis audaxviator	2	8	0	3	0	0	2	3	0	0	0	0	0	0	0	0
Heliorestis convoluta	4	482	46	6	2	0	18	4	10	0	1	0	2	1	2	0
Heliomicrobium modesticaldum	1	6	4	2	0	0	5	0	2	0	1	0	0	0	6	0
Desulfitobacterium dehalogenans	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium woodii	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Contubernalis alkalaceticum	2	4	17	0	0	0	0	1	1	1	0	0	0	0	1	0
Symbiobacterium thermophilum	2	0	11	1	0	0	1	1	1	0	1	0	0	0	0	0
Christensenella sp. Marseille-P3954	1	0	4	1	1	0	2	1	4	0	3	0	6	0	3	0
Thermincola potens	1	0	27	0	1	0	0	1	0	0	0	0	0	0	0	0
Gelria sp. Kuro-4	10	1	38	3	0	1	0	1	0	0	0	0	0	3	0	0
Ammonifex degensii	1	0	54	0	0	0	0	1	0	5	0	0	0	0	0	0
Carboxydothermus hydrogenoformans	1	2	2	0	0	0	3	0	0	0	0	1	0	0	1	0
Thermoanaerobacterium saccharolyticum	6	4	91	0	0	0	8	3	4	0	6	0	0	0	0	0
Thermoanaerobacterium thermosaccharolyticum	1	0	3	0	0	0	1	0	0	2	0	3	0	0	0	0
Caldicellulosiruptor owensensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mahella australiensis	7	30	68	1	0	0	3	1	2	3	1	0	1	1	2	0
Zhaonella formicivorans	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Tepidanaerobacter acetatoxydans	8	147	22	3	0	1	1	3	1	1	0	1	0	0	1	1
Natranaerofaba carboxydovora	1	6	10	0	0	0	0	2	1	3	0	0	0	0	0	0
Koleobacter methoxysyntrophicus	1	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0
Anaerococcus prevotii	49	0	13	2	0	0	654	22	77	4	1	3	8	0	0	0
Anaerococcus obesiensis	404	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0
Anaerococcus mediterraneensis	4	0	8	1	0	0	45	6	8	0	1	7	0	3	0	0
Anaerococcus vaginalis	14	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Finegoldia magna	10	89	15	9	2	0	79	39	67	2	11	0	9	4	17	0
Peptoniphilus ivorii	5	1	16	0	0	0	5	1	0	0	2	0	0	0	2	0
Parvimonas micra	3	9	0	1	0	7	0	5	24	37	0	0	3	2	17	0
Murdochiella vaginalis	2	2	31	4	0	0	2	1	1	0	1	0	1	0	0	0
Miniphocaeibacter halophilus	2	1	2	2	0	0	0	0	0	0	0	1	0	1	0	0
Gottschalkia acidurici	3	1	4	0	0	0	0	0	0	13	0	0	0	1	0	0
Caloranaerobacter azorensis	1	1	0	0	0	1	0	0	1	7	1	0	0	2	0	0
Ezakiella coagulans	3	0	1	0	0	2	22	5	7	0	0	0	0	0	0	0
Faecalitalea cylindroides	26	9	18	3	17	1	119	22	63	1	26	0	44	2	17	0
Intestinibaculum porci	13	0	27	2	13	0	74	1	48	0	25	2	19	1	15	0
Erysipelatoclostridium ramosum	4	0	289	12	1	0	7	3	7	5	11	1	1	0	2	2
Faecalibacillus intestinalis	3	4	7	11	2	0	17	5	0	15	6	0	7	3	5	0
Megamonas funiformis	4	0	3	1	0	2	18	0	3	1	6	0	0	0	0	0
Megamonas hypermegale	2	0	0	0	0	0	10	0	1	0	0	1	0	0	0	0
Selenomonas ruminantium	1	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0
Selenomonas sputigena	1	0	8	1	0	0	0	8	1	0	0	0	3	1	3	0
Sporomusa termitida	3	11	4	1	0	0	0	0	3	3	0	0	3	0	0	0
Veillonella parvula	5	5	18	28	1	0	6	22	37	52	4	0	9	0	2	0
Dialister pneumosintes	4	4	3	2	0	1	12	1	26	2	0	1	0	0	0	0
Phascolarctobacterium sp. Marseille-Q4147	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phascolarctobacterium faecium	1	1	2	0	0	0	0	0	1	2	0	0	1	0	0	0
Nocardioides aquaticus	463	11	23	0	0	0	76	1	1	1	3	0	0	0	4	0
Nocardioides sp. HDW12B	89	0	344	0	0	0	11	9	0	0	1	1	0	0	0	0
Nocardioides sp. S5	72	0	275	0	1	0	43	0	0	0	8	0	0	0	2	0
Nocardioides sp. W7	14	0	1123	25	0	0	5	16	5	0	0	0	0	0	1	0
Nocardioides sp. zg-536	19	128	218	2	0	0	0	3	1	0	0	0	3	0	0	0
Nocardioides sp. dk884	25	0	755	0	0	0	6	0	0	0	0	0	0	0	0	0
Nocardioides sp. InS609-2	10	0	65	0	1	0	3	2	0	0	0	0	0	2	0	0
Nocardioides sp. zg-1228	12	0	4	0	2	0	4	0	0	0	4	1	1	0	0	0
Nocardioides sp. cx-173	6	0	43	1	0	0	0	0	2	0	2	0	0	0	0	0
Nocardioides sp. WS12	3	2	400	1	0	0	25	0	1	6	0	0	1	1	0	0
Nocardioides sp. MC1495	4	0	42	4	0	0	0	0	0	1	0	1	1	0	0	0
Nocardioides sp. JS614	3	0	1448	0	0	0	5	0	1	0	1	1	0	0	0	0
Nocardioides sp. S-1144	2	0	24	2	0	0	58	0	0	0	0	0	1	0	0	0
Nocardioides sp. JQ2195	1	0	80	5	0	0	3	0	0	1	0	0	1	0	0	0
Nocardioides sp. TF02-7	1	0	174	0	0	0	14	1	0	0	0	0	0	0	2	0
Nocardioides coralli	162	0	309	1	48	0	701	0	117	0	93	1	386	0	243	0
Nocardioides seonyuensis	188	0	4	0	0	0	1	1	0	0	0	1	0	0	7	0
Nocardioides mesophilus	43	0	204	4	5	3	3	0	1	0	1	0	0	0	0	0
Nocardioides sambongensis	34	0	398	0	0	0	23	0	0	0	0	0	0	0	1	0
Nocardioides panacis	27	0	30	2	1	0	0	1	0	0	1	0	0	0	1	0
Nocardioides rotundus	26	0	452	0	0	0	6	0	0	0	0	1	1	0	0	0
Nocardioides panacisoli	11	0	170	0	0	0	0	0	1	0	1	0	0	0	0	0
Nocardioides ungokensis	14	0	73	0	0	0	3	0	0	0	0	0	0	0	0	0
Nocardioides euryhalodurans	8	0	129	0	0	0	1	40	0	0	0	0	1	0	1	0
Nocardioides humi	8	0	75	2	1	0	8	0	7	0	0	0	10	0	6	0
Nocardioides marinisabuli	10	0	179	0	0	0	7	0	0	0	0	0	0	0	0	0
Nocardioides piscis	6	0	8	3	0	0	0	0	3	0	0	0	0	0	0	0
Nocardioides houyundeii	4	0	101	0	1	0	0	0	0	0	1	0	0	0	0	0
Nocardioides yefusunii	4	0	55	2	0	0	0	0	0	1	0	0	0	0	0	0
Nocardioides okcheonensis	2	0	172	2	0	0	0	2	1	0	1	0	0	0	0	0
Nocardioides jishulii	2	0	10	0	2	0	3	0	0	0	0	0	0	0	1	0
Nocardioides cynanchi	1	0	97	0	0	0	1	0	0	0	2	0	0	0	0	0
Nocardioides baekrokdamisoli	1	0	48	0	0	0	1	0	0	0	0	0	3	0	0	0
Nocardioides dokdonensis	3	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides daphniae	2	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0
Aeromicrobium choanae	87	0	151	0	0	0	7	0	0	0	0	0	0	0	0	0
Aeromicrobium sp. zg-629	93	0	308	0	0	0	0	0	0	0	3	0	0	0	0	0
Aeromicrobium sp. A1-2	2	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromicrobium marinum	17	2	72	0	0	0	4	0	1	0	0	0	0	0	0	0
Aeromicrobium erythreum	9	0	204	0	0	0	1	0	0	0	0	0	0	0	0	0
Micropruina glycogenica	16	0	58	2	0	0	636	0	0	0	1	0	0	2	15	0
Marmoricola scoriae	23	0	199	3	1	0	204	0	1	0	1	1	1	0	1	0
Pimelobacter simplex	16	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0
Mumia sp. ZJ1417	1	0	427	0	0	1	6	0	1	0	0	0	1	0	0	0
Cutibacterium acnes	863	64	2320	441	679	13	7386	208	12731	4	1573	73	1215	14	2417	3
Cutibacterium avidum	113	0	85	0	18	0	126	5	72	0	23	0	15	0	26	0
Cutibacterium modestum	81	0	121	155	22	2	227	0	85	0	62	6	22	0	70	0
Cutibacterium granulosum	33	0	89	3	24	1	208	9	419	0	64	1	54	1	59	0
Tessaracoccus timonensis	8	0	108	0	0	0	10	4	3	0	1	0	2	0	0	0
Propionibacterium acidifaciens	6	6	5	0	1	0	16	0	4	0	2	0	0	0	0	0
Propionibacterium freudenreichii	9	0	70	0	0	0	168	7	5	0	9	0	2	0	2	0
Vaginimicrobium propionicum	6	0	83	0	1	0	11	0	4	0	0	0	3	0	5	0
Arachnia propionica	4	0	53	0	0	0	5	0	1	0	1	0	0	0	1	0
Microlunatus phosphovorus	3	0	15	0	0	0	128	0	3	0	0	0	0	0	1	0
Kribbella flavida	6	0	15	0	1	0	29	0	0	0	0	0	2	0	0	0
Actinopolymorpha singaporensis	3	3	39	0	0	0	19	2	0	0	0	0	1	0	2	0
Agrococcus sp. Marseille-Q4369	99	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
Agrococcus sp. SCSIO52902	67	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrococcus carbonis	14	0	32	0	0	0	3	0	3	0	0	0	0	0	0	0
Agrococcus jejuensis	3	0	129	1	0	0	6	0	0	0	0	0	2	0	3	0
Mycetocola zhujimingii	89	0	2776	0	1	0	0	0	4	0	1	0	0	0	4	0
Mycetocola spongiae	4	0	312	0	0	0	0	0	0	0	0	2	0	0	2	0
Microbacterium sp. Y-01	9	0	19	0	0	0	11	0	0	0	0	0	2	0	0	0
Microbacterium sp. A18JL241	4	0	383	0	0	0	1	1	5	0	0	0	2	0	0	0
Microbacterium sp. cx-55	1	0	4884	0	0	0	1	1	0	0	1	0	0	0	0	0
Microbacterium sp. ABRD_28	1	0	43	1	0	0	12	0	0	0	0	0	0	0	0	0
Microbacterium sp. Nx66	4	0	54	0	0	0	8	0	0	0	0	0	0	0	1	0
Microbacterium chengjingii	6	0	10	1	0	0	0	0	1	0	0	0	0	0	0	0
Microbacterium sediminis	16	0	71	0	0	0	0	0	9	0	8	0	0	0	13	0
Microbacterium chocolatum	9	0	304	0	0	0	3	0	3	0	0	1	0	0	0	0
Microbacterium lemovicicum	7	2	1912	0	0	1	1	0	0	0	1	2	0	0	0	0
Microbacterium oxydans	6	0	53	5	0	0	0	0	38	0	0	0	0	0	0	0
Microbacterium resistens	2	0	15	0	0	0	0	0	0	0	1	1	2	0	0	0
Microbacterium pygmaeum	1	0	1167	0	0	0	45	5	0	0	0	0	0	0	1	0
Curtobacterium sp. Csp2	109	0	587	0	6	0	22	0	20	0	2	0	0	4	64	0
Curtobacterium sp. Csp1	16	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium flaccumfaciens	5	0	792	2	0	1	11	1	4	0	0	1	59	1	12	14
Leucobacter sp. NB 10	17	0	827	0	0	0	2	0	1	0	0	0	0	0	3	0
Leucobacter sp. H25R-14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucobacter sp. CX169	4	0	2270	0	0	0	6	0	0	0	0	0	0	0	0	0
Leifsonia shinshuensis	18	0	4502	0	2	0	18	0	6	0	10	0	3	0	9	0
Microcella flavibacter	39	0	4654	0	0	0	22	0	0	0	0	0	0	0	8	0
Salinibacterium sp. dk2585	10	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinibacterium sp. M195	3	0	1031	0	0	0	0	0	0	0	0	0	0	0	0	0
Aurantimicrobium photophilum	9	0	1180	0	0	0	0	0	0	0	0	0	0	0	0	0
Frigoribacterium sp. NBH87	22	0	1169	0	0	0	8	0	2	0	0	0	0	0	0	3
Candidatus Rhodoluna planktonica	4	0	468	0	0	0	2	0	13	5	3	0	0	0	0	0
Aquiluna borgnonia	1	0	101	0	0	0	1	0	1	0	0	0	1	0	0	0
Gulosibacter sediminis	12	1	79	0	0	0	202	0	93	0	2	0	3	0	33	0
Agromyces badenianii	10	0	30	0	0	0	2	0	0	0	0	0	0	0	0	0
Plantibacter sp. PA-3-X8	4	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0
Protaetiibacter sp. SSC-01	4	0	691	0	0	0	0	0	0	0	3	0	0	0	0	0
Glaciihabitans sp. INWT7	1	0	3117	0	0	0	1	4	0	0	0	0	0	0	0	0
Pontimonas salivibrio	1	0	1166	0	0	0	0	1	0	0	0	0	0	0	0	0
Microterricola viridarii	3	1	833	29	0	0	9	12	0	1	1	0	0	5	0	7
Marisediminicola antarctica	1	0	5300	0	0	0	14	0	0	0	0	0	0	0	4	0
Micrococcus luteus	205	5	361	21	39	19	1553	315	276	0	86	119	93	13	541	0
Micrococcus sp. KD337-16	8	0	24	0	0	0	5	5	3	0	0	0	14	1	1	0
Micrococcus sp. KBS0714	32	0	34	0	0	0	2180	0	0	0	0	0	12	0	43	0
Micrococcus yunnanensis	15	0	0	0	25	0	279	0	48	0	0	0	0	0	70	0
Kocuria palustris	159	1	50	1	2	5	156	22	40	0	16	2	22	0	1510	0
Kocuria rhizophila	9	0	35	8	6	0	297	3	4	0	8	0	0	0	30	6
Kocuria sp. KD4	8	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0
Kocuria rosea	1	0	21	12	3	0	31	0	2	1	8	0	8	0	8	0
Kocuria flava	2	0	5	44	0	0	2	72	1	0	29	0	0	0	3	0
Rothia mucilaginosa	15	22	137	2	10	0	126	200	26	0	19	0	15	0	16	0
Rothia dentocariosa	2	14	11	0	0	0	12	52	0	0	7	0	2	2	11	0
Rothia aeria	2	0	46	3	7	1	0	9	6	0	0	0	1	0	22	0
Arthrobacter sp. ERGS1:01	2	0	5	3	2	0	0	2	0	3	1	0	2	0	0	0
Arthrobacter sp. C1-1	2	0	15	0	0	0	3	1	1	3	0	0	1	0	0	0
Arthrobacter sp. Helios	1	7	66	1	0	0	8	1	3	0	1	0	0	0	0	0
Arthrobacter sp. FW306-06-A	10	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0
Arthrobacter dokdonellae	3	0	5	0	0	0	9	1	1	0	0	0	0	0	0	0
Citricoccus sp. SGAir0253	1	0	42	2	0	0	26	0	5	0	0	1	1	0	2	0
Janibacter indicus	157	0	253	0	22	0	251	0	123	0	46	0	81	0	900	0
Janibacter melonis	15	0	5	1	1	0	29	0	6	0	5	0	1	0	52	0
Janibacter limosus	8	0	26	0	8	0	77	0	13	0	5	0	9	0	179	0
Janibacter sp. YB324	15	0	44	1	20	0	110	0	59	0	19	0	40	0	512	0
Phycicoccus sp. HDW14	9	0	93	1	2	0	1	0	0	1	1	0	0	0	4	0
Phycicoccus endophyticus	5	0	5	0	0	0	1	0	0	0	3	0	0	0	12	0
Tetrasphaera sp. HKS02	6	3	9	0	0	0	2	0	0	0	1	0	0	0	6	0
Pedococcus dokdonensis	6	0	23	0	0	0	9	3	0	0	0	0	0	0	5	0
Arsenicicoccus sp. oral taxon 190	2	0	51	1	1	0	69	5	0	1	1	0	0	0	2	0
Ornithinimicrobium avium	121	0	2	0	0	0	0	5	0	0	5	0	1	0	8	0
Ornithinimicrobium ciconiae	16	0	24	1	1	0	5	3	0	0	0	0	0	0	2	0
Ornithinimicrobium pratense	18	0	2	0	0	1	8	3	4	0	4	0	0	0	1	0
Ornithinimicrobium sp. HY006	11	0	0	2	0	0	17	5	0	0	0	0	0	0	4	0
Serinicoccus chungangensis	1	0	2	0	0	0	1	3	2	0	0	1	0	0	0	0
Serinicoccus profundi	1	0	0	0	0	0	13	0	0	0	0	0	0	0	9	0
Actinotalea sp. JY-7876	40	0	195	0	0	0	5	0	0	0	5	0	6	0	11	0
Cellulomonas sp. zg-ZUI157	7	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulomonas sp. zg-ZUI222	3	0	15	3	1	0	0	2	8	1	3	0	9	0	0	0
Cellulomonas sp. zg-ZUI188	1	0	32	0	0	0	0	0	0	0	0	0	1	0	2	0
Cellulomonas sp. C5510	2	0	14	1	1	0	5	0	6	0	3	0	2	0	5	0
Cellulomonas iranensis	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudactinotalea sp. HY158	2	0	222	0	0	0	2	7	0	0	0	0	1	0	0	0
Oerskovia sp. KBS0722	2	0	7	0	0	0	7	1	1	0	0	0	0	0	0	0
Dermacoccus nishinomiyaensis	64	0	133	16	15	0	45	27	25	0	21	20	23	0	146	0
Luteipulveratus mongoliensis	3	1	10	0	0	0	2	1	0	0	0	1	3	0	7	0
Allobranchiibius sp. GilTou73	1	0	16	0	0	0	3	0	0	0	0	0	1	0	0	0
Brachybacterium ginsengisoli	8	0	31	0	0	0	2	0	7	0	7	0	5	0	6	0
Brachybacterium sp. SGAir0954	6	0	21	0	5	0	3	0	20	0	0	0	0	0	6	0
Brachybacterium sp. P6-10-X1	1	0	27	3	0	0	12	0	0	0	0	0	11	0	4	0
Brachybacterium saurashtrense	5	0	4	0	0	0	7	2	9	1	1	0	1	0	8	0
Brachybacterium faecium	1	0	35	0	0	0	8	0	0	0	0	0	4	0	12	0
Brachybacterium vulturis	2	0	10	13	0	0	10	0	6	0	0	0	10	0	7	0
Brevibacterium pigmentatum	7	0	40	0	0	0	3	0	0	0	1	0	0	0	0	0
Brevibacterium sp. CS2	3	2	324	1	14	0	115	0	56	0	13	0	14	0	192	0
Brevibacterium sp. SMBL_HHYL_HB1	1	0	2	0	0	0	2	0	1	0	3	0	0	1	0	0
Brevibacterium linens	4	0	5	8	0	0	8	20	6	0	5	0	10	0	1	0
Sanguibacter keddieii	21	0	9	3	1	0	0	37	0	0	0	0	1	0	0	0
Austwickia chelonae	11	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0
Gephyromycinifex aptenodytis	2	0	21	2	4	0	6	12	8	0	4	0	38	0	4	0
Xylanimonas allomyrinae	4	0	22	0	5	1	8	0	0	0	0	0	0	0	0	0
Cellulosimicrobium cellulans	5	0	216	2	9	0	23	0	40	2	20	0	17	0	24	0
Isoptericola variabilis	2	0	81	0	1	0	0	0	0	0	0	0	0	0	0	0
Tropheryma whipplei	5	1	115	0	0	1	2	0	0	1	0	0	0	0	1	0
Kytococcus sedentarius	9	0	82	0	2	0	11	9	11	0	15	0	2	0	10	0
Pengzhenrongella sicca	1	0	112	6	0	0	0	0	0	0	0	0	1	0	0	0
Rhodococcus equi	639	0	362	0	1813	0	469	3	453	1	811	0	555	10	152	4
Rhodococcus sp. DMF-1	6	0	127	0	0	0	78	0	10	2	0	0	0	0	0	0
Rhodococcus sp. SGAir0479	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus sp. P-2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Rhodococcus erythropolis	8	10	0	3	1	0	80	0	0	0	5	0	0	0	13	0
Rhodococcus rhodochrous	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Rhodococcus aetherivorans	3	0	104	0	0	0	46	0	6	0	0	0	0	0	0	0
Nocardia asteroides	8	0	4	1	0	0	21	0	6	0	1	0	1	0	0	0
Nocardia tengchongensis	3	2	9	1	1	0	63	5	5	1	1	0	16	0	2	0
Nocardia otitidiscaviarum	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0
Mycobacteroides abscessus	238	2	78	0	19	0	24	0	8	0	5	0	26	4	5	0
Mycobacteroides chelonae	15	0	27	5	18	0	63	4	43	0	24	1	11	3	33	0
Mycobacteroides immunogenum	4	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0
Mycobacterium tuberculosis	27	256	741	20	0	1	34	24	43	39	3	0	6	4	23	10
Mycobacterium intracellulare	19	0	557	9	2	0	384	3	305	4	4	0	1	0	236	0
Mycobacterium sp. DL440	8	0	5	0	2	0	1	1	0	1	0	0	0	0	16	0
Mycobacterium sp. IDR2000157661	1	0	14	1	0	0	1	0	6	0	0	0	0	0	1	0
Mycobacterium grossiae	5	0	6	3	0	0	0	0	1	0	0	1	1	0	0	0
Mycobacterium noviomagense	1	0	3	3	0	0	4	4	0	0	2	0	0	0	0	1
Mycobacterium koreense	1	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0
Mycobacterium xenopi	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Mycobacterium shigaense	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Mycobacterium gordonae	1	0	2	0	0	0	8	0	0	0	0	1	1	0	0	0
Mycolicibacterium austroafricanum	22	0	92	2	21	3	132	5	19	0	11	0	7	0	206	3
Mycolicibacterium mageritense	3	0	37	0	9	0	54	0	119	0	36	0	11	0	3	0
Mycolicibacterium pulveris	2	0	22	0	0	0	0	0	2	0	1	1	0	0	0	0
Mycolicibacterium gadium	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0
Mycolicibacterium poriferae	1	0	11	0	0	0	0	0	3	0	0	0	0	0	1	0
Mycolicibacterium chubuense	1	0	12	0	0	0	1	0	0	0	0	1	0	0	3	0
Mycolicibacterium psychrotolerans	1	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0
Mycolicibacterium fluoranthenivorans	1	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0
Mycolicibacterium phocaicum	1	0	0	1	2	0	3	2	0	0	0	0	2	0	1	0
Mycolicibacter sp. MYC340	7	0	2	0	31	0	14	0	4	0	3	0	0	1	9	1
Hoyosella subflava	4	0	29	0	0	0	3	0	1	0	0	0	0	0	0	0
Mycolicibacillus parakoreensis	1	0	64	2	0	0	0	7	0	0	0	1	0	0	0	0
Dietzia psychralcaliphila	69	0	0	0	0	0	2	0	4	0	1	0	0	0	0	6
Dietzia sp. oral taxon 368	104	0	0	0	0	0	7	4	8	1	0	0	0	0	0	0
Dietzia timorensis	19	0	9	0	3	0	1	1	0	0	0	0	7	0	0	0
Dietzia lutea	41	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Corynebacterium kroppenstedtii	16	0	36	1	23	0	190	11	44	1	63	0	24	0	65	0
Corynebacterium rouxii	16	1	645	0	4	0	71	7	21	1	4	0	10	0	17	0
Corynebacterium kefirresidentii	15	0	23	0	1	0	68	94	159	0	19	0	7	1	27	0
Corynebacterium simulans	11	58	5	0	0	0	3	4	1	0	3	0	0	0	0	0
Corynebacterium tuberculostearicum	10	1	30	2	18	4	156	327	667	0	22	12	21	0	147	0
Corynebacterium glaucum	8	0	10	0	2	0	13	1	26	0	1	4	2	0	11	0
Corynebacterium glucuronolyticum	7	1	7	5	7	0	19	1	9	0	1	2	2	0	46	0
Corynebacterium segmentosum	8	0	5	1	13	0	2	0	424	0	1	0	3	0	8	0
Corynebacterium pseudodiphtheriticum	5	0	2	2	0	0	13	0	6	0	1	0	1	0	1	0
Corynebacterium coyleae	4	0	0	0	0	0	0	8	140	0	0	0	9	0	77	0
Corynebacterium diphtheriae	472	1773	18891	406	1	0	2885	213	145	55	417	8	742	0	10	0
Corynebacterium efficiens	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium ureicelerivorans	3	0	11	1	7	0	8	9	15	0	2	0	35	0	18	0
Corynebacterium genitalium	3	0	8	0	4	0	30	0	9	0	14	0	210	0	28	0
Corynebacterium matruchotii	3	7	5	0	1	2	25	19	3	0	1	0	4	0	2	0
Corynebacterium lujinxingii	2	0	8	0	1	0	4	3	8	0	3	6	8	0	75	0
Corynebacterium glutamicum	4	4	98	1	0	0	31	78	121	0	0	0	0	3	394	0
Corynebacterium singulare	2	0	0	0	0	0	1	129	2	0	1	0	0	0	0	0
Corynebacterium sphenisci	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0
Corynebacterium amycolatum	2	1	7	0	0	0	4	42	36	13	0	0	0	0	3	0
Corynebacterium aurimucosum	1	4	3	0	0	0	1	0	29	10	1	0	0	0	9	0
Corynebacterium jeikeium	1	0	26	1	36	10	7	9	79	0	0	0	3	0	3	0
Corynebacterium sp. CNCTC7651	1	0	12	0	0	0	0	0	2	0	0	0	0	0	1	0
Corynebacterium mycetoides	1	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0
Corynebacterium falsenii	1	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0
Corynebacterium macginleyi	1	0	9	4	7	0	4	4	73	0	1	2	3	0	19	0
Corynebacterium resistens	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Corynebacterium pseudotuberculosis	1	9	36	7	1	0	5	2	8	0	1	0	1	0	2	0
Lawsonella clevelandensis	73	0	123	3	41	0	295	5	178	0	132	0	46	2	113	0
Gordonia otitidis	46	0	45	1	25	1	104	0	70	0	11	0	27	1	352	0
Gordonia sp. PDNC005	5	0	12	0	3	0	7	0	0	0	5	0	1	0	0	0
Gordonia polyisoprenivorans	1	131	4	10	0	0	20	478	3	129	0	0	0	11	1	0
Tsukamurella tyrosinosolvens	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
Streptomyces sp. ICC1	683	0	407	0	755	0	400	17	577	0	458	0	90	17	519	0
Streptomyces sp. ICC4	547	0	1745	22	278	0	3502	52	158	0	148	0	70	6	1517	0
Streptomyces sp. SUK 48	10	0	17	0	5	0	37	0	15	0	16	0	10	0	20	0
Streptomyces sp. XC 2026	11	0	318	0	0	0	46	0	3	0	2	0	2	1	0	0
Streptomyces sp. CB00271	2	2	81	0	0	0	12	4	1	0	2	0	0	1	2	0
Streptomyces sp. Z423-1	2	1	5	0	0	0	0	0	0	0	2	0	0	0	0	0
Streptomyces sp. S063	2	0	2	0	2	1	6	0	0	0	3	0	1	0	4	0
Streptomyces sp. 2323.1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
Streptomyces sp. WAC 01529	1	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0
Streptomyces sp. MST-110588	1	0	0	0	1	0	0	0	3	0	2	0	1	0	0	0
Streptomyces sp. WY228	1	0	23	0	0	0	4	0	0	0	1	0	0	0	0	0
Streptomyces sp. MG28	1	20	2	1	0	0	1	7	1	1	1	0	1	0	0	0
Streptomyces sp. NEAU-S7GS2	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Streptomyces sp. SAT1	1	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0
Streptomyces sp. ST13-2-2	1	0	1	1	0	0	5	0	2	0	0	1	3	0	3	0
Streptomyces sp. 3214.6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0
